Month/Year,Debit Balances in Customers' Securities Margin Accounts,Free Credit Balances in Customers' Cash Accounts,Free Credit Balances in Customers' Securities Margin Accounts
19-Jan,"568,433","151,804","186,050"
19-Feb,"581,205","149,686","181,955"
19-Mar,"574,013","141,074","180,765"
19-Apr,"588,721","143,802","178,523"
19-May,"568,751","137,489","179,019"
,,,
18-Jan,"665,716","168,450","181,763"
18-Feb,"645,064","164,657","183,267"
18-Mar,"645,235","166,148","180,751"
18-Apr,"652,303","155,989","179,410"
18-May,"668,940","155,344","181,890"
18-Jun,"646,931","157,150","179,399"
18-Jul,"652,790","148,947","178,299"
18-Aug,"652,395","148,873","178,601"
18-Sep,"648,126","151,384","188,152"
18-Oct,"607,645","148,037","183,432"
18-Nov,"592,593","146,452","178,810"
18-Dec,"554,285","159,572","190,743"
,,,
17-Jan,"553,557","186,301","186,029"
17-Feb,"568,637","185,720","184,598"
17-Mar,"577,674","186,892","184,977"
17-Apr,"590,797","180,908","184,930"
17-May,"582,764","176,970","185,463"
17-Jun,"584,258","176,707","187,500"
17-Jul,"594,414","173,195","184,246"
17-Aug,"596,567","170,524","183,744"
17-Sep,"606,334","172,872","183,599"
17-Oct,"607,838","169,368","184,047"
17-Nov,"627,422","170,948","185,312"
17-Dec,"642,798","172,999","182,773"
,,,
16-Jan,"487,200","180,616","162,825"
16-Feb,"474,156","178,989","168,308"
16-Mar,"483,909","182,673","172,525"
16-Apr,"495,178","176,016","187,000"
16-May,"489,867","177,161","187,495"
16-Jun,"487,636","186,233","189,585"
16-Jul,"513,221","183,435","188,155"
16-Aug,"510,157","177,764","185,695"
16-Sep,"540,615","184,757","182,833"
16-Oct,"523,760","182,051","182,986"
16-Nov,"539,972","179,598","187,085"
16-Dec,"529,372","188,062","189,979"
,,,
15-Jan,"485,872","163,599","178,259"
15-Feb,"504,923","168,371","170,930"
15-Mar,"518,055","171,625","170,074"
15-Apr,"549,964","168,430","167,073"
15-May,"541,671","166,334","169,076"
15-Jun,"547,957","170,614","168,441"
15-Jul,"530,744","168,659","169,132"
15-Aug,"515,960","175,647","168,692"
15-Sep,"497,279","173,760","167,132"
15-Oct,"513,941","174,437","163,210"
15-Nov,"515,410","174,607","165,584"
15-Dec,"503,444","181,812","159,677"
,,,
14-Jan,"487,549","151,878","195,863"
14-Feb,"502,093","154,049","190,312"
14-Mar,"487,932","156,083","194,461"
14-Apr,"475,195","149,801","194,679"
14-May,"475,362","150,474","188,551"
14-Jun,"502,270","160,293","184,723"
14-Jul,"498,671","155,931","177,981"
14-Aug,"501,000","155,245","180,820"
14-Sep,"503,901","161,621","183,243"
14-Oct,"492,888","158,624","185,193"
14-Nov,"496,341","158,420","184,227"
14-Dec,"495,756","169,295","181,223"
,,,
13-Jan,"388,123","142,856","199,709"
13-Feb,"390,351","142,123","208,682"
13-Mar,"403,933","144,530","197,887"
13-Apr,"408,677","140,706","191,719"
13-May,"401,606","146,765","199,756"
13-Jun,"407,681","150,093","200,308"
13-Jul,"412,101","144,495","194,790"
13-Aug,"414,442","143,808","195,181"
13-Sep,"432,852","149,895","197,780"
13-Oct,"445,022","151,494","199,889"
13-Nov,"456,378","150,214","199,153"
13-Dec,"478,502","157,000","197,521"
,,,
12-Jan,"309,844","137,309","174,889"
12-Feb,"323,021","139,609","177,639"
12-Mar,"330,815","142,297","182,814"
12-Apr,"335,154","138,909","182,021"
12-May,"315,147","139,111","187,938"
12-Jun,"320,952","138,937","192,149"
12-Jul,"313,525","124,330","194,741"
12-Aug,"320,395","124,276","196,786"
12-Sep,"339,159","129,389","205,176"
12-Oct,"342,325","124,800","200,406"
12-Nov,"351,441","135,650","202,425"
12-Dec,"355,009","162,206","211,576"
,,,
11-Jan,"326,868","130,894","173,545"
11-Feb,"348,979","135,760","179,102"
11-Mar,"355,413","133,386","170,139"
11-Apr,"360,883","133,131","175,399"
11-May,"355,736","133,727","175,508"
11-Jun,"345,273","139,575","183,547"
11-Jul,"344,572","138,316","182,957"
11-Aug,"308,866","135,508","193,533"
11-Sep,"298,277","141,806","204,307"
11-Oct,"317,028","133,639","188,141"
11-Nov,"303,930","132,934","188,259"
11-Dec,"301,616","142,533","189,143"
,,,
10-Jan,"266,455","281,035",
10-Feb,"263,657","106,131","164,624"
10-Mar,"277,798","108,908","162,169"
10-Apr,"295,550","111,217","160,630"
10-May,"268,566","114,051","166,706"
10-Jun,"263,202","114,265","172,908"
10-Jul,"267,468","106,290","172,179"
10-Aug,"268,371","106,870","174,209"
10-Sep,"288,540","114,321","173,544"
10-Oct,"303,428","114,784","176,588"
10-Nov,"309,340","119,305","176,805"
10-Dec,"313,678","126,098","182,426"
9-Jan,"205,007","316,763",
9-Feb,"199,655","310,503",
9-Mar,"203,967","291,927",
9-Apr,"208,010","285,658",
9-May,"214,401","275,313",
9-Jun,"217,140","283,874",
9-Jul,"228,734","277,082",
9-Aug,"236,251","281,989",
9-Sep,"254,107","287,196",
9-Oct,"265,404","299,858",
9-Nov,"250,988","284,071",
9-Dec,"262,399","281,043",
,,,
8-Jan,"365,592","474,496",
8-Feb,"377,088","454,785",
8-Mar,"349,419","488,831",
8-Apr,"332,303","472,371",
8-May,"341,610","470,188",
8-Jun,"346,892","499,634",
8-Jul,"343,297","519,226",
8-Aug,"324,814","530,042",
8-Sep,"345,745","381,702",
8-Oct,"277,568","383,429",
8-Nov,"227,334","364,232",
8-Dec,"210,185","345,713",
,,,
7-Jan,"311,506","292,521",
7-Feb,"321,171","300,072",
7-Mar,"317,737","305,479",
7-Apr,"342,084","314,744",
7-May,"382,312","334,359",
7-Jun,"408,444","347,617",
7-Jul,"416,403","380,971",
7-Aug,"362,475","381,550",
7-Sep,"359,104","377,364",
7-Oct,"376,979","392,543",
7-Nov,"379,593","426,721",
7-Dec,"355,292","456,353",
,,,
6-Jan,"255,795","255,819",
6-Feb,"249,609","257,573",
6-Mar,"259,370","258,928",
6-Apr,"265,164","259,342",
6-May,"255,608","264,307",
6-Jun,"251,495","280,275",
6-Jul,"256,016","269,376",
6-Aug,"249,368","269,423",
6-Sep,"261,769","268,612",
6-Oct,"267,710","267,462",
6-Nov,"294,899","290,910",
6-Dec,"303,288","299,023",
,,,
5-Jan,"220,122","230,624",
5-Feb,"223,155","224,392",
5-Mar,"226,876","234,533",
5-Apr,"217,447","223,839",
5-May,"219,404","224,933",
5-Jun,"224,153","234,352",
5-Jul,"233,585","224,242",
5-Aug,"231,400","225,410",
5-Sep,"244,669","238,929",
5-Oct,"239,868","243,174",
5-Nov,"242,904","241,695",
5-Dec,"244,098","263,205",
,,,
4-Jan,"189,429","198,628",
4-Feb,"190,448","200,323",
4-Mar,"191,451","203,953",
4-Apr,"198,778","217,992",
4-May,"193,843","219,640",
4-Jun,"193,993","220,781",
4-Jul,"187,844","220,196",
4-Aug,"187,828","217,945",
4-Sep,"193,668","220,860",
4-Oct,"197,999","218,090",
4-Nov,"211,012","223,928",
4-Dec,"217,573","238,192",
,,,
3-Jan,"141,391","179,528",
3-Feb,"140,516","179,925",
3-Mar,"144,267","176,955",
3-Apr,"143,237","168,756",
3-May,"153,725","178,946",
3-Jun,"168,281","190,026",
3-Jul,"174,427","199,973",
3-Aug,"167,200","188,112",
3-Sep,"171,194","189,826",
3-Oct,"175,428","191,554",
3-Nov,"182,587","184,899",
3-Dec,"181,459","199,297",
,,,
2-Jan,"160,906","189,841",
2-Feb,"154,931","186,919",
2-Mar,"160,089","180,578",
2-Apr,"159,072","175,730",
2-May,"157,802","173,395",
2-Jun,"153,972","178,744",
2-Jul,"143,905","183,326",
2-Aug,"139,146","174,995",
2-Sep,"136,107","180,997",
2-Oct,"138,647","181,069",
2-Nov,"139,472","176,062",
2-Dec,"139,451","184,715",
,,,
1-Jan,"208,687","187,225",
1-Feb,"198,887","193,266",
1-Mar,"174,797","198,581",
1-Apr,"176,096","191,145",
1-May,"183,041","183,493",
1-Jun,"179,585","187,602",
1-Jul,"173,680","185,100",
1-Aug,"169,316","191,219",
1-Sep,"157,931","211,281",
1-Oct,"152,367","187,012",
1-Nov,"159,440","188,441",
1-Dec,"160,473","197,424",
,,,
Jan-00,"260,409","148,567",
Feb-00,"284,206","153,540",
Mar-00,"299,933","168,002",
Apr-00,"268,716","156,868",
May-00,"256,862","153,843",
Jun-00,"264,471","153,050",
Jul-00,"263,729","163,050",
Aug-00,"265,166","156,775",
Sep-00,"270,208","160,964",
Oct-00,"250,965","172,738",
Nov-00,"237,913","186,459",
Dec-00,"210,385","198,179",
,,,
Jan-99,"162,322","107,200",
Feb-99,"162,909","109,523",
Mar-99,"166,212","109,941",
Apr-99,"184,329","112,290",
May-99,"189,950","114,271",
Jun-99,"187,695","116,982",
Jul-99,"189,503","115,017",
Aug-99,"187,616","117,149",
Sep-99,"189,741","121,207",
Oct-99,"194,259","123,457",
Nov-99,"218,304","131,786",
Dec-99,"241,967","146,582",
,,,
Jan-98,"132,912","83,362",
Feb-98,"141,328","81,932",
Mar-98,"146,536","85,580",
Apr-98,"146,589","85,771",
May-98,"150,293","80,174",
Jun-98,"154,357","87,891",
Jul-98,"160,980","92,687",
Aug-98,"155,879","100,093",
Sep-98,"144,541","103,879",
Oct-98,"138,399","108,179",
Nov-98,"148,697","108,032",
Dec-98,"148,674","111,507",
,,,
Jan-97,"103,337","68,856",
Feb-97,"103,886","67,058",
Mar-97,"104,835","69,553",
Apr-97,"102,842","64,825",
May-97,"111,097","66,879",
Jun-97,"118,843","72,422",
Jul-97,"121,090","73,714",
Aug-97,"124,404","71,211",
Sep-97,"131,962","73,087",
Oct-97,"134,491","80,287",
Nov-97,"132,741","77,259",
Dec-97,"131,560","88,590",
